"geoid","msa","name","pop","pop_child","pop_inst","house","house_fam","house_fam_child","house_child","house_senior","house_size","house_fam_size","units","units_occ","units_vac","units_vac_rent","units_sale","units_sold","units_vac_vacation","units_vac_other","units_occ_own","units_occ_own_pop","units_occ_own_size","units_occ_rent","units_occ_rent_pop","units_occ_rent_size"
"310M100US21020",21020,"Elizabeth City, NC  Micro Area",64094,17260,1296,24229,17120,6899,8038,6983,2.51,2.98,27923,24229,3694,874,531,214,808,1233,17010,42991,2.53,7219,17939,2.48
"310M100US21060",21060,"Elizabethtown, KY  Metro Area",119736,35214,1471,45468,32230,14911,16669,9944,2.55,3.03,49433,45468,3965,1157,770,208,332,1406,29515,76140,2.58,15953,40027,2.51
"310M100US21120",21120,"Elk City, OK  Micro Area",22119,5814,1900,8163,5485,2516,2828,2034,2.48,3.02,9647,8163,1484,645,121,62,144,499,5706,14399,2.52,2457,5813,2.37
"310M100US21140",21140,"Elkhart-Goshen, IN  Metro Area",197559,63294,2803,70244,50542,23961,26746,16687,2.76,3.23,77767,70244,7523,3254,1369,267,498,2046,49193,138691,2.82,21051,55064,2.62
"310M100US21220",21220,"Elko, NV  Micro Area",50805,16187,422,18278,12936,6462,7169,3304,2.75,3.25,20642,18278,2364,677,182,60,692,703,12413,35373,2.85,5865,14861,2.53
"310M100US21260",21260,"Ellensburg, WA  Micro Area",40915,8661,251,16595,9225,3727,3999,3794,2.32,2.87,21900,16595,5305,475,315,34,3860,583,9637,23281,2.42,6958,15217,2.19
"310M100US21300",21300,"Elmira, NY  Metro Area",88830,23458,3698,35462,22551,9606,10726,9926,2.37,2.92,38369,35462,2907,917,377,151,376,1030,24011,59079,2.46,11451,24835,2.17
"310M100US21340",21340,"El Paso, TX  Metro Area",800647,286853,8188,256557,196625,101841,120098,61244,3.06,3.56,270307,256557,13750,4361,2691,543,1219,4562,161695,516625,3.2,94862,268230,2.83
"310M100US21380",21380,"Emporia, KS  Micro Area",36480,9588,569,14453,8884,4074,4453,3294,2.41,3.02,16740,14453,2287,1001,198,109,254,694,9168,23731,2.59,5285,11160,2.11
"310M100US21420",21420,"Enid, OK  Micro Area",60580,16366,1005,24175,15945,6957,7772,6494,2.43,2.98,26831,24175,2656,739,311,128,186,1254,16302,39703,2.44,7873,19047,2.42
"310M100US21460",21460,"Enterprise-Ozark, AL  Micro Area",100199,28440,910,39914,27558,12017,13653,10096,2.47,2.98,45007,39914,5093,1669,532,249,484,2086,25743,63477,2.47,14171,35205,2.48
"310M100US21500",21500,"Erie, PA  Metro Area",280566,78301,5208,110413,70196,30044,33310,29100,2.42,3,119138,110413,8725,2771,1159,332,1628,2686,73847,188626,2.55,36566,79065,2.16
"310M100US21540",21540,"Escanaba, MI  Micro Area",37069,9492,391,15992,10381,3851,4155,4994,2.28,2.8,20214,15992,4222,274,303,63,2872,689,12636,29817,2.36,3356,6629,1.98
"310M100US21580",21580,"Espanola, NM  Micro Area",40246,11889,238,15768,10477,4417,5299,4249,2.53,3.09,19638,15768,3870,373,179,45,1709,1526,12528,31745,2.53,3240,8076,2.49
